file,release,status,license,source,licenseFile,evidenceLevel,sha256,bytes
assets/acc_cargorack.glb,True,project-authored,Project-specific; no new third-party grant,design/armored-update/build_armored_fleet.py,,procedural-source-reviewed,1843ed9e3ed0c7a9c31054586d35e6461a690aee7c43a78ed05b5eece9a1140b,26440
assets/acc_championcup.glb,True,project-authored,Project-specific; no new third-party grant,design/garage-expansion/build_workshop.py,,procedural-source-reviewed,874d3aa1e9fdf1bf6112c14b2e86046a511c1c1faa6a3bd878fd85963e008062,74384
assets/acc_dragonhelm.glb,True,project-authored,Project-specific; no new third-party grant,design/garage-expansion/build_workshop.py,,procedural-source-reviewed,38ce1b02f9b79a1f5b47d21f7a94a48233908a0cdea8371f7533613a051329f1,16296
assets/acc_fieldradio.glb,True,project-authored,Project-specific; no new third-party grant,design/build_field_radio.py,,procedural-source-reviewed,fd85d202427240669d48c1e4f75c8a5b89aa6bfbcbe64371f52193bac3875421,41236
assets/acc_gift.glb,True,verified-license,CC0-1.0,https://kenney.nl/assets/holiday-kit,legal/licenses/Kenney-holiday.txt,original-package-license-and-recovered-import-history,e2c89b74e8b0b93d6988b4e429e467169b966792a99706bc989a3abab9e30d65,9548
assets/acc_holodrone.glb,True,project-authored,Project-specific; no new third-party grant,design/garage-expansion/build_workshop.py,,procedural-source-reviewed,3bc484939d68a1d97a33f081339d475eecd0f4c2f92107a20036d850ff8d1bed,64904
assets/acc_icecrown.glb,True,project-authored,Project-specific; no new third-party grant,design/garage-expansion/build_workshop.py,,procedural-source-reviewed,3ca9f71800a404b20897f628ff2e4abb19f076b3c2e2667d09765083a9d6af9e,27500
assets/acc_mushroom.glb,True,verified-license,CC0-1.0,https://kenney.nl/assets/nature-kit,legal/licenses/Kenney-nature.txt,original-package-license-and-recovered-import-history,1ccbab79ac2e5d5cd9cda3933a2a82de213b85975c002908d6643e992c4d12db,3104
assets/acc_rallyrack.glb,True,project-authored,Project-specific; no new third-party grant,design/garage-expansion/build_workshop.py,,procedural-source-reviewed,ac16d0c28307b355abf23caf23aa1518eb8ec061d4ba0d57a44a3017694f6d28,33992
assets/acc_rescuepack.glb,True,project-authored,Project-specific; no new third-party grant,design/armored-update/build_armored_fleet.py,,procedural-source-reviewed,e98d6c4c87503147e9037b97a9d72b457cf9d8912053d1b24ceb71867f0bb60d,30388
